,user,date,upvote,score,comment
0,cuadropalooza,"Sep  4, 2021",37,8,"The MCU has finally reached a point where we have seen a lot of weird stuffs, So they can throw something really crazy at us and we will just accept it as normal. That's what I love about this movie, it takes you to a wild journey whereThe MCU has finally reached a point where we have seen a lot of weird stuffs, So they can throw something really crazy at us and we will just accept it as normal. That's what I love about this movie, it takes you to a wild journey where anything can happen. The movie has a lot of surprises, a great villain and a good story even if I wasn't a big fan of the jokes that the movie throws at you every time anything happens.In conclusion, this is the kind of movie that you will enjoy if you watch it to have fun. This movie is far from a masterpiece, but at the same time, feels like they finally portrayed the craziness of the comics in the big screen without the fear that it could be too much for the audience. "
1,Anastasyah,"Sep  5, 2021",35,9,"That's one of the best marvel movie! I love the storytelling and the action, that was amazing. But honestly i didn't expect that. Friends told me that this is a great movie, but i watched trailer and it didn't impress me at all. One thing isThat's one of the best marvel movie! I love the storytelling and the action, that was amazing. But honestly i didn't expect that. Friends told me that this is a great movie, but i watched trailer and it didn't impress me at all. One thing is a little disappointing it's the lack of fighting of the shan chi himself. "
2,d0vla11,"Sep 10, 2021",27,7,"I had low expectations for this one and was actually pleasantly surprised by the story and how good the main villain is. I wish the soundtrack would've been better as the setting was beautiful. On the other characters of the movie - they wereI had low expectations for this one and was actually pleasantly surprised by the story and how good the main villain is. I wish the soundtrack would've been better as the setting was beautiful. On the other characters of the movie - they were just alright. And i must mention the phenomenal visual effects.Another solid movie from Marvel, check it out! "
3,AquaArcher,"Sep 10, 2021",27,8,"This has the best fight choreography in an MCU movie since Captain America Winter Solider. The story was pretty good and the acting was on point, the cameos from a few characters were really cool to see as well. Overall the fight scenes wereThis has the best fight choreography in an MCU movie since Captain America Winter Solider. The story was pretty good and the acting was on point, the cameos from a few characters were really cool to see as well. Overall the fight scenes were the star of the movie and the story was good, I’d definitely recommend it especially if you like good martial arts fight scenes. "
4,J-will,"Sep 25, 2021",24,10,Outstanding Marvel movie! Visual and actions is the best part of any superheroes movie and here it is the top of what the world had to offer in the decade! That movie is a love letter to Asian cinema and culture!  The reimagining of the tenOutstanding Marvel movie! Visual and actions is the best part of any superheroes movie and here it is the top of what the world had to offer in the decade! That movie is a love letter to Asian cinema and culture!  The reimagining of the ten rings design and powers are super cool and beautiful! Truly one of the best weapons in the MCU. The combo attack of  Wenwu or Shang chi are straight out of a video game! And finally upgrading the master of Kung fu to a high-tier hero in the same level as Hulk and Thor is the best change for that character! I cannot wait for Shaun to interact in with the others heroes and his involvement in the next Avengers and others movies. 
5,carlinhosice,"Sep 20, 2021",23,10,Com certeza um dos melhores filmes que a Marvel lançou. CGI e direção de arte incríveis.
6,TingYu,"Sep 15, 2021",22,10,This is the best MCU movie that i’ve ever seen. Did not expect so much until getting into theatre.
7,qwertyuiop789,"Sep 15, 2021",22,10,"THIS WAS SUCH AN AMAZING MOVIE. The storyline was so creative and thought-out, the characters had so much depth, and the action scenes were amazing. Overall, really really really good movie (and it's three really's so you know it's good)"
8,lennyi,"Sep 18, 2021",22,10,"I went to watch this in the movies a couple of weeks ago, and i really enjoyed it. I would really like to watch it a second time, so i would really like it to come to disney+ pretty quickly. Might not be my favourite marvel movie but itsI went to watch this in the movies a couple of weeks ago, and i really enjoyed it. I would really like to watch it a second time, so i would really like it to come to disney+ pretty quickly. Might not be my favourite marvel movie but its pretty damn good. I recommend it. "
9,IzaroCal,"Sep 18, 2021",22,10,Joder esta película fue como ver una perfecta adaptación de un anime basado en un manga pero el chiste es que esto fue basado en un cómic Estadounidense.
